Altium Designer Pick and Place Locations
I:\ProjektiOtvoreni\Sjenica\hw\RS485HUB8\Project Outputs for DE-220124\Pick Place for DE-220124.csv

========================================================================================================================
File Design Information:

Date:       25/01/24
Time:       12:03
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P8","TERMINAL BLOK 2","TopLayer","TERMINAL_BLOK_2","2075.000","5350.000","270","2 pinski terminal blok"
"U19","MC74AC00D","TopLayer","751A-03_N","515.000","6075.512","270","Quad 2-Input NAND Gate"
"U18","MAX485","TopLayer","D008_L","510.000","5762.480","270","Differential Bus Transceiver"
"R83","1K","TopLayer","ERA-0805","555.000","6270.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R82","27K","TopLayer","ERA-0805","745.000","5985.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R81","680R","TopLayer","ERA-0805","660.000","5560.000","180","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R80","120R","TopLayer","ERA-0805","205.000","6255.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R79","27K","TopLayer","ERA-0805","285.000","6085.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R78","120R","TopLayer","ERA-0805","510.000","5560.000","180","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R77","680R","TopLayer","ERA-0805","360.000","5560.000","180","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R76","4K7","TopLayer","ERA-0805","655.000","5695.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R75","1K","TopLayer","ERA-0805","325.000","5685.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"P13","RS485","TopLayer","TERMINAL_BLOK_2","508.425","5350.000","270","2 pinski terminal blok"
"D38","1N5819","TopLayer","SOD323","745.000","6145.000","270","General-purpose Diode"
"D37","HSMZ-C190","TopLayer","1.6X0.8X0.8","405.000","6270.000","180","High Performance Chip LED, Red"
"D36","1N4148","TopLayer","SOD323","825.000","6145.000","270","General-purpose Diode"
"D35","1N4148","TopLayer","SOD323","205.000","6090.000","90","General-purpose Diode"
"C40","100nF","TopLayer","0603","715.000","5840.000","180","Ceramic Chip Capacitor - Standard"
"C39","1nF","TopLayer","0603","280.000","6255.000","90","Ceramic Chip Capacitor - Standard"
"C38","1nF","TopLayer","0603","820.000","5985.000","90","Ceramic Chip Capacitor - Standard"
"C37","100nF","TopLayer","0603","730.000","5695.000","270","Ceramic Chip Capacitor - Standard"
"U17","MC74AC00D","TopLayer","751A-03_N","2085.000","6080.000","270","Quad 2-Input NAND Gate"
"U16","MC74AC00D","TopLayer","751A-03_N","1305.000","6080.000","270","Quad 2-Input NAND Gate"
"U15","MC74AC00D","TopLayer","751A-03_N","2880.000","6080.000","270","Quad 2-Input NAND Gate"
"U14","MC74AC00D","TopLayer","751A-03_N","3670.000","6085.000","270","Quad 2-Input NAND Gate"
"U13","MC74AC00D","TopLayer","751A-03_N","3650.000","6644.488","90","Quad 2-Input NAND Gate"
"U12","MC74AC00D","TopLayer","751A-03_N","2875.000","6645.000","90","Quad 2-Input NAND Gate"
"U11","MC74AC00D","TopLayer","751A-03_N","2110.000","6650.000","90","Quad 2-Input NAND Gate"
"U10","MAX485","TopLayer","D008_L","3660.000","5772.480","270","Differential Bus Transceiver"
"U9","MAX485","TopLayer","D008_L","3660.000","6957.520","90","Differential Bus Transceiver"
"U8","MAX485","TopLayer","D008_L","2880.000","5770.000","270","Differential Bus Transceiver"
"U7","MAX485","TopLayer","D008_L","2885.000","6957.520","90","Differential Bus Transceiver"
"U6","MAX485","TopLayer","D008_L","2085.000","5770.000","270","Differential Bus Transceiver"
"U5","MAX485","TopLayer","D008_L","2080.000","6962.520","90","Differential Bus Transceiver"
"U4","MAX485","TopLayer","D008_L","1295.000","5770.000","270","Differential Bus Transceiver"
"U3","MC74AC00D","TopLayer","751A-03_N","1075.000","6745.000","90","Quad 2-Input NAND Gate"
"U2","MAX485","TopLayer","D008_L","1070.000","7055.000","90","Differential Bus Transceiver"
"U1","L78M05CV","TopLayer","TO220V","535.000","6780.000","270","Positive Voltage Regulator"
"R74","1K","TopLayer","ERA-0805","3705.000","6285.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R73","10K","TopLayer","ERA-0805","3905.000","5995.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R72","680R","TopLayer","ERA-0805","3805.000","5565.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R71","120R","TopLayer","ERA-0805","3350.000","6260.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R70","1K","TopLayer","ERA-0805","3617.401","6440.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R69","27K","TopLayer","ERA-0805","3435.000","6095.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R68","120R","TopLayer","ERA-0805","3660.000","5565.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R67","10K","TopLayer","ERA-0805","3415.000","6735.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R66","680R","TopLayer","ERA-0805","3510.000","7160.000","180","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R65","120R","TopLayer","ERA-0805","3965.000","6460.000","90","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R64","27K","TopLayer","ERA-0805","3885.000","6625.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R63","680R","TopLayer","ERA-0805","3510.000","5565.000","360","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R62","1K","TopLayer","ERA-0805","3475.000","5700.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R61","4K7","TopLayer","ERA-0805","3815.000","5705.000","270","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
"R60","120R","TopLayer","ERA-0805","3660.000","7160.000","180","Rectangular Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 0.1% and 0.5% Tolerance, 0805 Size, 0.1 W"
